Sample ID	COG-UK ID	GISAID Accession	GISAID Secondary Accession	ENA Sample Accession	ENA Run Accession
S0034	LOND-125331F	EPI_ISL_842731	hCoV-19/England/LOND-125331F/2020	ERS5667917	ERR5230856
S0035	LOND-12532F4	EPI_ISL_842729	hCoV-19/England/LOND-12532F4/2020	ERS5661744	ERR5225338
S0036	LOND-12532E5	0	0	0	0
S0037	LOND-12532D6	EPI_ISL_842728	hCoV-19/England/LOND-12532D6/2020	ERS5665909	ERR5228818
S0038	LOND-12532A9	EPI_ISL_842726	hCoV-19/England/LOND-12532A9/2020	ERS5666596	ERR5229513
S0039	LOND-125328B	0	0	ERS5657907	ERR5221702
S0040	LOND-125325E	EPI_ISL_842721	hCoV-19/England/LOND-125325E/2020	ERS5653172	ERR5285623
S0041	LOND-13280C0	#N/A	#N/A	#N/A	#N/A
S0042	LOND-1250DAB	EPI_ISL_665814	hCoV-19/England/LOND-1250DAB/2020	ERS5416980	ERR4890771
S0043	LOND-1327C45	#N/A	#N/A	#N/A	#N/A
S0044	LOND-1251056	EPI_ISL_665829	hCoV-19/England/LOND-1251056/2020	ERS5418738	ERR4892581
S0045	LOND-1251074	0	0	0	0
S0046	LOND-12510A1	0	0	0	0
S0047	LOND-132802A	#N/A	#N/A	#N/A	#N/A
S0048	LOND-1327E9A	#N/A	#N/A	#N/A	#N/A
S0049	LOND-1250DC9	EPI_ISL_665815	hCoV-19/England/LOND-1250DC9/2020	ERS5418851	ERR4892696
S0050	LOND-1250DD8	0	0	0	0
S0051	LOND-1250DF6	EPI_ISL_665817	hCoV-19/England/LOND-1250DF6/2020	ERS5419357	ERR4893186
S0052	LOND-1250E02	EPI_ISL_665818	hCoV-19/England/LOND-1250E02/2020	ERS5416822	ERR4890611
S0053	#N/A	#N/A	#N/A	#N/A	#N/A
S0054	LOND-13280DF	#N/A	#N/A	#N/A	#N/A
S0055	LOND-1327F5B	#N/A	#N/A	#N/A	#N/A
S0056	LOND-1327C63	#N/A	#N/A	#N/A	#N/A
S0057	LOND-1327E8B	#N/A	#N/A	#N/A	#N/A
S0058	LOND-1322DA1	EPI_ISL_866053	hCoV-19/England/LOND-1322DA1/2020	ERS5736091	ERR5287540
S0059	LOND-1251144	EPI_ISL_665757	hCoV-19/England/LOND-1251144/2020	ERS5418170	ERR4892000
S0060	LOND-1250E3F	EPI_ISL_665820	hCoV-19/England/LOND-1250E3F/2020	ERS5416903	ERR4890693
S0061	LOND-1327B75	#N/A	#N/A	#N/A	#N/A
S0062	LOND-1327AF0	#N/A	#N/A	#N/A	#N/A
S0063	LOND-1327DCA	#N/A	#N/A	#N/A	#N/A
S0064	LOND-1327EA9	#N/A	#N/A	#N/A	#N/A
S0065	LOND-1327DD9	#N/A	#N/A	#N/A	#N/A
S0066	LOND-1328673	#N/A	#N/A	#N/A	#N/A
S0067	LOND-1251232	EPI_ISL_665839	hCoV-19/England/LOND-1251232/2020	ERS5417674	ERR4891487
S0068	LOND-13276B0	#N/A	#N/A	#N/A	#N/A
S0069	LOND-13241EF	EPI_ISL_920268	hCoV-19/England/LOND-13241EF/2020	ERS5663039	ERR5226549
S0070	LOND-1324AB7	EPI_ISL_920376	hCoV-19/England/LOND-1324AB7/2020	ERS5662361	ERR5225923
S0071	LOND-1322DB0	EPI_ISL_866054	hCoV-19/England/LOND-1322DB0/2020	ERS5655639	ERR5219522
S0072	LOND-13249F6	0	0	0	0
S0073	LOND-1322DCF	0	0	0	0
S0074	LOND-1324932	EPI_ISL_920364	hCoV-19/England/LOND-1324932/2020	ERS5660173	ERR5223865
S0075	LOND-1327B84	#N/A	#N/A	#N/A	#N/A
S0076	LOND-1327A3C	#N/A	#N/A	#N/A	#N/A
S0077	LOND-1324871	EPI_ISL_920355	hCoV-19/England/LOND-1324871/2020	ERS5653681	ERR5217600
S0078	LOND-13257EC	EPI_ISL_920517	hCoV-19/England/LOND-13257EC/2020	ERS5740730	ERR5288514
S0079	LOND-1327999	#N/A	#N/A	#N/A	#N/A
S0080	LOND-1327D15	#N/A	#N/A	#N/A	#N/A
S0081	LOND-1251E01	0	0	0	0
S0082	LOND-1325500	EPI_ISL_920482	hCoV-19/England/LOND-1325500/2020	ERS5740822	ERR5288610
S0083	LOND-13280A2	#N/A	#N/A	#N/A	#N/A
S0084	LOND-132800C	#N/A	#N/A	#N/A	#N/A
S0085	LOND-13246FF	0	0	0	0
S0086	LOND-12516EB	EPI_ISL_679426	hCoV-19/England/LOND-12516EB/2020	ERS5536234	ERR5071747
S0087	LOND-1251B19	0	0	0	0
S0088	LOND-1251AFE	EPI_ISL_704102	hCoV-19/England/LOND-1251AFE/2020	ERS5538318	ERR5073843
S0089	LOND-1251A76	EPI_ISL_705943	hCoV-19/England/LOND-1251A76/2020	ERS5527430	ERR5063022
S0090	LOND-1251AEF	EPI_ISL_705947	hCoV-19/England/LOND-1251AEF/2020	ERS5538843	ERR5074371
